no,tango,kana,en,zh,vi
0411,長持ち,ながもち,Last a long time,经久、耐用,lâu bền
0412,名残,なごり,Remains,余波、余韵,tàn tích
0413,成り行き,なりゆき,Outcome,发展、演变,diễn tiến
0414,慣れ,なれ,"Practice, familiarity",习惯化、惯性,sự quen với
0415,入手,にゅうしゅ,Obtain,入手、取得,"có được, lấy được"
0416,認識,にんしき,"Recognize, be aware of",认知、理解,nhận thức
0417,忍耐,にんたい,Patience,忍耐,sự nhẫn nại
0418,認定,にんてい,"Certify, acknowledge",认定,"thừa nhận, công nhận"
0419,値打ち,ねうち,Value,价值,"giá trị, sự xứng đáng"
0420,念,ねん,"Care, attention",注意,sự cẩn trọng
0421,燃料,ねんりょう,Fuel,燃料,nhiên liệu
0422,ノルマ,,Quota,指标,"hạn mức, chỉ tiêu"
0423,把握,はあく,Grasp,把握、充分理解,nắm bắt
0424,ハードル,,"Hurdle, obstacle",难度、困难,rào cản
0425,廃棄,はいき,"Discard, scrap",废弃,"thanh lý, vứt bỏ"
0426,排除,はいじょ,"Get rid of, remove",排除、除掉,"dẹp bỏ, loại bỏ"
0427,排水,はいすい,Waste water,排水,thoát nước
0428,媒体,ばいたい,Media,媒体、媒介,vật hoặc phương tiện truyền dẫn
0429,配置,はいち,"Arrange, deploy",布置、布局,"sắp đặt, bài trí"
0430,配分,はいぶん,"Distribute, allocate",分配、分布,"phân phối, phân chia"
0431,敗北,はいぼく,"Lose, be defeated",败北、战败,"thua, bại trận"
0432,配慮,はいりょ,"Consider, take account of",关怀、照料,"quan tâm, nghĩ đến"
0433,破壊,はかい,Destroy,破坏,phá hủy
0434,破棄,はき,"Destroy, annul",撕毁；毁约、废除,tiêu hủy / hủy bỏ
0435,白紙,はくし,"Blank sheet, white paper",白纸；原状,giấy trắng / từ ban đầu
0436,迫力,はくりょく,Power,感染力、打动人心,sức mạnh
0437,暴露,ばくろ,"Expose, reveal",揭露,phơi bày
0438,派遣,はけん,"Dispatch, send",派遣,phái cử
0439,発覚,はっかく,"Be detected, be discovered",暴露,bị phát hiện
0440,発揮,はっき,Bring to bear,发挥,phát huy
0441,発掘,はっくつ,"Unearth, uncover",挖掘、发掘,khai quật
0442,発散,はっさん,"Emit, give off",发散,"thoát ra, bốc hơi"
0443,発送,はっそう,"Ship, send",发送、寄出,gửi đi
0444,初耳,はつみみ,News (to someone),初次听到,mới nghe lần đầu
0445,破片,はへん,"Debris, fragments",碎片,mảnh vỡ
0446,破滅,はめつ,Ruin,破灭、毁灭,hủy hoại
0447,バリアフリー,,Barrier-free,无障碍式,không có rào cản
0448,破裂,はれつ,Burst,破裂,"nổ, vỡ"
0449,班,はん,"Group, team",组,"tổ, nhóm"
0450,繁栄,はんえい,Flourish,繁荣,"phát đạt, khởi sắc"
0451,反感,はんかん,Antipathy,反感、不满,"mối ác cảm, sự phản đối"
0452,反響,はんきょう,Echo,回响；反响,âm vang / tạo tiếng vang
0453,反撃,はんげき,Counterattack,反击,phản công
0454,判定,はんてい,"Judge, deem",判定,phán quyết
0455,万能,ばんのう,All-round talent,全能,"toàn năng, đa tài"
0456,判明,はんめい,"Be identified, be ascertained",弄清、判明,"được xác định, được làm rõ"
0457,氾濫,はんらん,Overflow,泛滥；充斥、蔓延,chảy tràn / tràn lan
0458,控え,ひかえ,Backup copy,备份、副本、凭条,bản sao
0459,控室,ひかえしつ,Waiting room,等候室,phòng chờ
0460,日頃,ひごろ,Every day,平时、平素,"luôn luôn, thường ngày"
0461,ビジョン,,Vision,前景、未来的构想,triển vọng
0462,備蓄,びちく,Stockpile,储备,dự trữ
0463,必然,ひつぜん,Inevitable,必然,tất yếu
0464,匹敵,ひってき,"Rival, be equal to",匹敌、比得上,xứng tầm
0465,ヒット,,Be a hit,大获成功、大受欢迎,"thắng lớn, thành công vang dội"
0466,一息,ひといき,A single gulp or breath / A breather,一口气（干）；（歇）一口气,một hơi / một lần nghỉ
0467,人影,ひとかげ,Human figure,人影,bóng người
0468,人け,ひとけ,Sign of life,有人在的样子,dấu hiệu có người
0469,一頃,ひところ,"Once, formerly",曾有一时、以前,"một thời, một thuở"
0470,人目,ひとめ,Public attention,世人的注目,ánh nhìn của người khác
0471,非難,ひなん,Reproach,谴责,chỉ trích
0472,火花,ひばな,Spark,（放电时产生的）火花、火星,tia lửa
0473,ひび,,Crack,裂痕,vết nứt
0474,日々,ひび,Every day,天天、每天,hàng ngày
0475,悲鳴,ひめい,Scream,悲鸣、尖叫,tiếng hét
0476,飛躍,ひやく,Make rapid progress,飞跃、突飞猛进；飞跃、不经顺序,nhảy vọt / có kẽ hở
0477,表示,ひょうじ,Display,表示、标示,"biểu thị, thể hiện"
0478,表明,ひょうめい,Express,表明,"bày tỏ, biểu lộ"
0479,ピリオド,,Period,句号；结束,dấu chấm câu / sự kết thúc
0480,披露,ひろう,Show off,披露、公布,"biểu diễn, công bố"
0481,品,ひん,Grace,品格、品位,"phẩm chất, nhân phẩm"
0482,ピンチ,,Crisis,危机、困境,"tình thế khó khăn, nghịch cảnh"
0483,封鎖,ふうさ,"Close, shut",封锁,phong tỏa
0484,風車,ふうしゃ,Windmill,风车,cối xay gió
0485,フォーム,,Form,姿势；形式,tư thế / mẫu
0486,複合,ふくごう,Combine,复合,kết hợp
0487,復しゅう,ふくしゅう,Avenge yourself,报仇,báo thù
0488,復活,ふっかつ,"Revive, reinstate",复活,"được khôi phục, hồi sinh"
0489,復帰,ふっき,"Return, revert",复归、恢复,quay lại
0490,復旧,ふっきゅう,Restore,修复,phục hồi
0491,復興,ふっこう,Reconstruct,复兴、重振,"kiến thiết lại, xây dựng lại"
0492,物資,ぶっし,"Supplies, goods",物资,"hàng hóa, vật tư"
0493,物体,ぶったい,Object,物体,vật thể
0494,腐敗,ふはい,"Rot, go bad",腐败,hư hỏng
0495,不評,ふひょう,Unpopular,评价不好、恶评,"bị chê, không được lòng"
0496,部門,ぶもん,Department,门类、组,"thể loại, lĩnh vực, khu vực"
0497,プロジェクト,,Project,项目、规划,dự án
0498,プロセス,,Process,过程、工序,quá trình
0499,ブロック,,Block,（体育运动中）阻挡；街区,cản trở / khối nhà
0500,分割,ぶんかつ,"Divide, segment",分割、瓜分,chia ra
0501,分散,ぶんさん,"Disperse, decentralize",分散,phân bổ
0502,紛失,ふんしつ,"Lose, mislay",遗失、丢失,làm mất
0503,分担,ぶんたん,Share (a burden),分担,chia sẻ
0504,分配,ぶんぱい,Distribute,分配,"phân phát, phân chia"
0505,分布,ぶんぷ,"Be distributed, be found",分布,phân bố
0506,粉末,ふんまつ,Powder,粉末,chất bột
0507,分離,ぶんり,Separate,分离,phân tách
0508,分裂,ぶんれつ,Split up,分裂,chia rẽ
0509,弊害,へいがい,Downside,弊端、危害,thiệt hại
0510,並行,へいこう,Act in parallel,同时进行,song song
0511,閉鎖,へいさ,"Close, shut down",关闭,đóng cửa
0512,平常,へいじょう,Normal,平常、平时,bình thường
0513,ベース,,Base,基础、基本,"tiêu chuẩn, nền"
0514,弁解,べんかい,"Explain, justify",辩解,"giải thích, biện minh"
0515,変革,へんかく,Overhaul,变革、改革,cải cách
0516,返還,へんかん,"Return, give back",返还、退还,hoàn lại
0517,返却,へんきゃく,Return,归还,trả lại
0518,変動,へんどう,Fluctuate,变动、变化,biến đổi
0519,ボイコット,,Boycott,联合抵制,tẩy chay
0520,崩壊,ほうかい,Collapse,崩溃、倒塌,đổ sập
0521,妨害,ぼうがい,Obstruct,妨害、妨碍,cản trở
0522,放棄,ほうき,"Abandon, renounce",放弃,từ bỏ
0523,防御,ぼうぎょ,Defend,防御,phòng vệ
0524,方策,ほうさく,"Measure, policy",对策,"phương án, kế sách"
0525,奉仕,ほうし,Serve,服务、奉献,phục vụ
0526,方式,ほうしき,Method,方式,"thể thức, hình thức"
0527,放出,ほうしゅつ,"Discharge, release",放出、释放、喷出,giải phóng
0528,放置,ほうち,Leave,置之不顾、乱放,bỏ mặc
0529,抱負,ほうふ,"Aspiration, hopes",抱负,"hoài bão, ước vọng"
0530,飽和,ほうわ,Saturate,饱和,"bão hòa, quá tải"
0531,保管,ほかん,Keep in custody,保管,cất giữ
0532,補給,ほきゅう,"Supply, replenish",补给、补充,"bổ sung, cung cấp"
0533,補強,ほきょう,Reinforce,增强、加固,gia cố
0534,ポジション,,Position,位置、职位,"vị trí, vai trò"
0535,補充,ほじゅう,"Refill, replenish",补充,"làm đầy, bổ sung"
0536,保障,ほしょう,Guarantee,保障,bảo đảm
0537,補足,ほそく,Supplement,补充、补足,bổ sung
0538,没収,ぼっしゅう,Confiscate,没收,tịch thu
0539,発足,ほっそく/はっそく,"Launch, inaugurate",开始、成立,"khai mạc, khởi đầu"
0540,堀,ほり,Moat,濠、护城河,hào nước
0541,本気,ほんき,"Serious, in earnest",认真、当真,"sự nghiêm túc, đứng đắn"
0542,本質,ほんしつ,"Essence, nature",本质,bản chất
0543,本体,ほんたい,Main unit,主体、主要部分,bộ phận chính (máy móc)
0544,本音,ほんね,"Honest opinion, true intent",真心话、真实想法,"nội tâm, nỗi lòng, thật lòng"
0545,本場,ほんば,"Home, origin",正宗产地、发源地,"nơi sinh ra, cái nôi (nghĩa bóng)"
0546,埋蔵,まいぞう,Bury,埋藏,chôn giấu
0547,身,み,"Body, oneself",自身,bản thân mình
0548,未知,みち,Unknown,未知,chưa biết tới
0549,密集,みっしゅう,Be concentrated,密集,"dồn đống, tập trung đông"
0550,見通し,みとおし,"Prospect, outlook",视野；指望、预期,tầm nhìn xa / triển vọng
0551,源,みなもと,Source,源、起源,"nguồn gốc, cội rễ"
0552,見晴らし,みはらし,"View, vista",远望、眺望,tầm nhìn
0553,身ぶり,みぶり,Gesture,姿势、形体动作,"cử chỉ, điệu bộ"
0554,無,む,Nothing,无,"hư không, không có"
0555,ムード,,Mood,氛围、气氛,"bầu không khí, tâm trạng"
0556,無言,むごん,Speechless,无言、沉默,"không nói gì, im lặng"
0557,名産,めいさん,Specialty product,名产、特产,đặc sản
0558,名称,めいしょう,Name,名称、名字,"tên gọi, danh xưng"
0559,命中,めいちゅう,"Hit, strike",命中,trúng
0560,メカニズム,,Mechanism,机制,cơ chế
0561,恵み,めぐみ,"Grace, bounty",恩惠、馈赠,"sự ưu đãi, ân huệ"
0562,めど,,"Prospect, likelihood",着落、眉目,triển vọng
0563,目安,めやす,Standard,标准、大致目标,"tiêu chuẩn, mục tiêu"
0564,免除,めんじょ,Exempt,免除,miễn
0565,メンテナンス,,Send off for maintenance,保养、维持,bảo dưỡng
0566,面目,めんぼく／めんもく,"Face, prestige",脸面,thể diện
0567,目撃,もくげき,Witness,目击,chứng kiến
0568,模型,もけい,Model,模型,mô hình
0569,模索,もさく,Search for,摸索、探索,"mò mẫm, dò dẫm"
0570,モニター,,Monitor,监视、监视器；评论、评论员,máy giám sát / giám sát
0571,模範,もはん,"Model, example",模范、榜样,"hình mẫu, tấm gương tốt"
0572,模倣,もほう,Imitate,模仿,"mô phỏng, bắt chước"
0573,モラル,,"Morals, ethics",道德、伦理,đạo đức
0574,野外,やがい,Outdoors,野外、户外,ngoài trời
0575,闇,やみ,The dark,黑暗,bóng tối
0576,誘導,ゆうどう,"Induce, guide",引导,chỉ dẫn / xui khiến
0577,誘惑,ゆうわく,"Seduce, tempt",诱惑、引诱,"dụ dỗ, rủ rê"
0578,要因,よういん,"Factor, cause",要因、主要原因,nguyên nhân
0579,用件,ようけん,Matter,应办的事,"công việc, công chuyện"
0580,擁護,ようご,"Defend, support",拥护,bảo vệ
0581,様式,ようしき,Form,格式,"phong cách, mẫu nhất định"
0582,要請,ようせい,Ask for,请求,thỉnh cầu
0583,様相,ようそう,"Aspect, air",形势、情况,khía cạnh
0584,要望,ようぼう,"Request, demand",要求、强烈希望,yêu cầu
0585,要領,ようりょう,"Point, gist, knack",要领、要点,"cách xử lý hiệu quả, bí quyết"
0586,予期,よき,Expect,预期,dự đoán
0587,欲,よく,"Desire, urge",欲望、贪心,tham vọng
0588,抑圧,よくあつ,"Suppress, repress",压制、压迫,"đàn áp, áp chế"
0589,抑制,よくせい,"Suppress, curb",抑制,"kiềm hãm, ức chế"
0590,予言,よげん,Predict,预言,tiên đoán
0591,余地,よち,"Room, scope",余地,"chỗ, thì giờ"
0592,夜更かし,よふかし,Stay up late,熬夜、到很晚还不睡,thức khuya
0593,ライフライン,,"Vital services, ”life-line” supplies",生命线,"đường dây thiết yếu (nước, điện, ga…)"
0594,落下,らっか,Fall,落下,rơi xuống
0595,ラベル,,Label,标签,nhãn hiệu
0596,乱用,らんよう,Abuse,滥用,"lạm dụng, dùng sai cách"
0597,リーダーシップ,,Leadership,领导能力、统率力,khả năng lãnh đạo
0598,リクエスト,,Request,点播,yêu cầu
0599,理屈,りくつ,Pretext,道理、理论,lý thuyết
0600,リサイクル,,Recycle,回收利用、再利用,tái chế
0601,リスク,,Risk,危险、风险,nguy cơ
0602,利点,りてん,Advantage,优点,"ưu thế, ưu điểm"
0603,了承,りょうしょう,"Accept, understand",了解、谅解,"thông cảm, chấp nhận"
0604,類似,るいじ,Be similar to,类似、相似,tương tự nhau
0605,レギュラー,,Regular,通常；正式,thông thường / (thành viên) thường xuyên
0606,レッテル,,Put a label on,标签,"nhãn hiệu, sự đánh giá"
0607,連携,れんけい,Team up,合作,hợp tác
0608,連帯,れんたい,Act together,连带、团结,mối đoàn kết
0609,労力,ろうりょく,"Toil, effort",劳力,công sức
0610,技,わざ,Skills,技艺、技术,"kỹ thuật, tay nghề"
0611,災い,わざわい,Disaster,灾难,tai ương
0612,アリバイ,,Alibi,不在场证明,bằng chứng ngoại phạm
0613,暗殺,あんさつ,Assassinate,暗杀,ám sát
0614,異動,いどう,"Move, relocate",调动、变动,thay đổi (về nhân sự)
0615,汚職,おしょく,Corruption,贪污,tham nhũng
0616,解雇,かいこ,"Dismiss, lay off",解雇,sa thải
0617,改定,かいてい,Revise,重新规定,điều chỉnh
0618,解約,かいやく,Cancel,解约,hủy hợp đồng
0619,加害者,かがいしゃ,"Culprit, assailant",加害者,thủ phạm
0620,過失,かしつ,Mistake,过失、过错,"lỗi, sơ suất"
0621,過疎,かそ,Depopulation,（人口)过疏、过度稀少,sự suy giảm (về dân số)
0622,幹部,かんぶ,"Leader, cadre",首脑、团体中的核心人物,thành viên cốt cán
0623,関与,かんよ,Be involved in,参与,"tham gia, tham dự"
0624,危害,きがい,Harm,危害,nguy hại
0625,ききん,,"Famine, drought",饥荒,nạn đói
0626,偽造,ぎぞう,Counterfeit,伪造,làm giả
0627,規範,きはん,Norm,规范,"tiêu chuẩn, quy phạm"
0628,虐待,ぎゃくたい,Mistreat,虐待,ngược đãi
0629,救済,きゅうさい,"Relieve, remedy",救济,trợ giúp
0630,寄与,きよ,Contribute,贡献,đóng góp
0631,脅威,きょうい,"Threat, danger",威胁,mối đe dọa
0632,協定,きょうてい,Agreement,协定,hiệp định
0633,脅迫,きょうはく,Threaten,恐吓、胁迫,"đe dọa, dọa nạt"
0634,業務,ぎょうむ,"Business, service, operations",业务、工作,công việc
0635,勤労,きんろう,"Work, labor",劳动,lao động
0636,群衆,ぐんしゅう,"Crowd, mass",群众,đám đông
0637,刑,けい,"Sentence, penalty",刑罚,hình phạt
0638,刑罰,けいばつ,"Punishment, penalty",刑罚,hình phạt
0639,現行,げんこう,"Current, existing",现行、现在正在施行,hiện hành
0640,検事,けんじ,Prosecutor,检察官,công tố viên
0641,拘束,こうそく,"Bind, detain",羁押,giam giữ
0642,交付,こうふ,"Issue, grant",交付、发给,cấp
0643,護衛,ごえい,Escort,护卫,"bảo vệ, hộ tống"
0644,雇用,こよう,"Employ, hire",雇用,tuyển dụng
0645,産休（産前産後休業）,さんきゅう（さんぜんさんごきゅうぎょう）,Maternity leave,产假（产前产后休业）,nghỉ thai sản (nghỉ trước và sau sinh)
0646,自衛,じえい,Protect yourself,自卫,tự bảo vệ
0647,自首,じしゅ,Hand yourself in,自首,đầu thú
0648,辞表,じひょう,Resignation,辞呈,đơn từ chức
0649,釈放,しゃくほう,Release,释放,phóng thích
0650,就業,しゅうぎょう,"Start work, gain employment",就业,bắt đầu đi làm
0651,襲撃,しゅうげき,Attack,袭击、偷袭,đột kích
0652,従事,じゅうじ,Be engaged in,从事,làm việc liên quan đến
0653,就任,しゅうにん,Take office,就任、就职,nhận chức
0654,出動,しゅつどう,Be dispatched,出动,xuất quân
0655,証言,しょうげん,Testify,证词,làm chứng
0656,昇進,しょうしん,"Be promoted, be elevated",晋升,được thăng chức
0657,証人,しょうにん,Witness,证人,nhân chứng
0658,書記,しょき,Secretary,（会议等的）记录人员,thư ký
0659,職務,しょくむ,Duties,职务,"công việc, phần việc"
0660,所帯,しょたい,Household,家庭,hộ gia đình
0661,処罰,しょばつ,"Punish, sanction",处罚,xử phạt
0662,庶民,しょみん,Ordinary people,平民、普通人,thường dân
0663,申告,しんこく,"Declare, state",申报,khai báo
0664,震災,しんさい,Earthquake disaster,震灾,thảm họa động đất
0665,心中,しんじゅう,Commit double suicide,殉情、情死,cùng nhau tự sát
0666,ストーカー,,Stalker,跟踪狂,kẻ bám đuôi
0667,総会,そうかい,General assembly,大会、全会,đại hội
0668,捜査,そうさ,"Investigate, probe",搜查、调查,điều tra
0669,捜索,そうさく,"Investigate, search",搜索、搜寻,khám xét
0670,騒動,そうどう,Disturbance,闹事、骚动,"vụ ồn ào, vụ huyên náo"
0671,遭難,そうなん,Get into trouble,遇难,gặp nạn
0672,訴訟,そしょう,Lawsuit,诉讼,"vụ tố tụng, vụ kiện"
0673,大衆,たいしゅう,"The public, the masses",大众,đại chúng
0674,滞納,たいのう,"Be late with (payment), be in arrears",滞纳、拖欠,trễ hạn chi trả
0675,妥結,だけつ,Reach agreement,谈妥、达成妥协,thỏa thuận
0676,脱退,だったい,"Leave, quit",脱离、退出,"rút khỏi, rời khỏi"
0677,徴収,ちょうしゅう,"Levy, collect",征收,"thu (thuế, phí)"
0678,調停,ちょうてい,Mediate,调停、调解,"hòa giải, điều đình"
0679,追跡,ついせき,"Track, chase",追踪,"truy đuổi, theo dấu"
0680,通報,つうほう,Report,通报、通知,"thông báo, báo cáo"
0681,DV（ドメスティックバイオレンス）,,Domestic violence,受到丈夫或者恋人的暴虐,bạo lực gia đình
0682,適用,てきよう,Apply,适用,áp dụng
0683,天災,てんさい,Natural disaster,天灾,thiên tai
0684,転職,てんしょく,Change job,转职、跳槽,chuyển việc
0685,転落,てんらく,Fall,滚落、跌落,"lăn xuống, rơi xuống"
0686,当事者,とうじしゃ,Party or person involved,当事人,"người có liên quan, người trong cuộc"
0687,逃走,とうそう,"Run away, flee",逃走,đào thoát
0688,逃亡,とうぼう,"Run away, escape",逃亡,chạy trốn
0689,認可,にんか,"Authorize, approve",许可、批准,cấp phép
0690,任期,にんき,Term of service,任期,nhiệm kỳ
0691,任務,にんむ,"Mission, duty",任务,nhiệm vụ
0692,任命,にんめい,Appoint,任命,bổ nhiệm
0693,納税,のうぜい,Pay tax,纳税,nộp thuế
0694,賠償,ばいしょう,Compensate,赔偿,bồi thường
0695,迫害,はくがい,Persecute,迫害,bức hại
0696,白状,はくじょう,"Admit, confess",坦白、招认,thú nhận
0697,爆破,ばくは,Blow up,爆破、炸毁,làm nổ
0698,判決,はんけつ,"Sentence, judgment",判决,phán quyết
0699,非行,ひこう,"Misconduct, delinquency",不良行为,hành vi sai trái
0700,被災,ひさい,Be a victim of,受灾,hứng chịu (thiên tai)
0701,人質,ひとじち,Hostage,人质,con tin
0702,覆面,ふくめん,Mask,蒙面,"mặt nạ, sự che mặt"
0703,赴任,ふにん,Be appointed,上任,chuyển công tác
0704,紛争,ふんそう,"Dispute, conflict",纷争,giao tranh
0705,偏見,へんけん,"Prejudice, bias",偏见,thành kiến
0706,防衛,ぼうえい,Defend,保卫、防卫,phòng vệ
0707,放火,ほうか,Commit arson,放火、纵火,phóng hỏa
0708,法廷,ほうてい,Court,法庭,"pháp đình, tòa án"
0709,補償,ほしょう,Compensate,补偿,đền bù
0710,ポスト,,"Post, position",职位、岗位,"vị trí, chức vụ"
0711,無罪,むざい,Innocence,无罪,sự vô tội
0712,夜勤,やきん,Night shift,值夜班,ca đêm
0713,誘拐,ゆうかい,"Kidnap, abduct",诱拐,bắt cóc (do dụ dỗ)
0714,有罪,ゆうざい,Guilt,有罪,sự có tội
0715,容疑者,ようぎしゃ,Suspect,犯罪嫌疑人,kẻ tình nghi
0716,拉致,らち,"Kidnap, abduct",劫持、绑架,bắt cóc (do cưỡng ép)
0717,リストラ,,Restructure,裁员,tái cấu trúc
0718,略奪,りゃくだつ,"Loot, plunder",掠夺、抢夺,cướp bóc
0719,連合,れんごう,"Ally, unite",联合、团结,liên kết
0720,連盟,れんめい,"Federation, league",联盟、联合会,"liên đoàn, liên minh"
0721,移民,いみん,"Immigration, emigration",移民,dân nhập cư
0722,外相,がいしょう,Minister of Foreign Affairs,外务大臣,Ngoại trưởng
0723,介入,かいにゅう,Intervene,介入,can thiệp
0724,勧告,かんこく,"Advise, urge",劝告,"khuyến cáo, khuyên bảo"
0725,官僚,かんりょう,Bureaucrat,官员、国家公务员,công chức
0726,議案,ぎあん,Bill,议案,"chương trình nghị sự, vấn đề (đem ra bàn tại hội nghị)"
0727,議決,ぎけつ,"Decide, pass a resolution",决议、表决,quyết định (sau hội nghị)
0728,棄権,きけん,Abstain,弃权,từ bỏ quyền lợi
0729,機構,きこう,"Mechanism, organ, agency",机构,cơ cấu / tổ chức
0730,規制,きせい,Regulate,管制、限制,quy định / hạn chế
0731,軍,ぐん,Army,军队,quân đội
0732,軍艦,ぐんかん,Warship,军舰,tàu chiến
0733,軍事,ぐんじ,Military matters,军事,quân sự
0734,君主,くんしゅ,Monarch,君主,"vua chúa, người cai trị đất nước"
0735,軍備,ぐんび,Military readiness,军备,quân bị
0736,決議,けつぎ,Pass a resolution,决议、表决,ra nghị quyết
0737,権力,けんりょく,"Authority, power",权力,quyền lực
0738,言論,げんろん,"Speech, expression",言论,ngôn luận
0739,広報,こうほう,Public relations,宣传、宣传资料,"thông báo, bản thông cáo"
0740,公務,こうむ,Public service,公务,công vụ
0741,国土,こくど,National territory,国土,lãnh thổ
0742,国防,こくぼう,National defense,国防,quốc phòng
0743,国有,こくゆう,State-owned,国有,của Nhà nước
0744,国交,こっこう,Diplomatic relations,邦交,quan hệ ngoại giao
0745,採決,さいけつ,Vote on,表决,biểu quyết
0746,採択,さいたく,Adopt,选定、采纳,thông qua / chọn lựa
0747,施行,しこう/せこう,"Enforce, put into effect",实行、施行,"thi hành, thực thi"
0748,自治,じち,Autonomy,自治,sự tự trị
0749,自治体（地方自治体）,じちたい（ちほうじちたい）,Local government,自治体,chính quyền địa phương
0750,失脚,しっきゃく,Lose your position,失势、下台,mất chức
0751,主権,しゅけん,Sovereignty,主权,chủ quyền
0752,首脳,しゅのう,Leader,首脑,người lãnh đạo
0753,樹立,じゅりつ,Establish,树立、建立,thành lập
0754,条約,じょうやく,"Treaty, convention",条约,hiệp ước
0755,植民地,しょくみんち,Colony,殖民地,thuộc địa
0756,諸国,しょこく,Various countries,诸国、各国,các nước
0757,審議,しんぎ,"Deliberate, discuss",审议,"bàn thảo, bàn luận"
0758,侵略,しんりゃく,Invade,侵略,xâm lược
0759,政権,せいけん,"Administration, government",政权,chính quyền
0760,制裁,せいさい,Sanction,制裁,trừng phạt
0761,制定,せいてい,Enact,制定,ban hành
0762,声明,せいめい,"Statement, declaration",声明,tuyên bố
0763,戦災,せんさい,War damage,战祸,nạn chiến tranh
0764,選出,せんしゅつ,Elect,选出、选拔,bầu ra
0765,戦術,せんじゅつ,Tactics,战术,chiến thuật
0766,戦闘,せんとう,"Combat, fighting",战斗,"cuộc chiến, trận đánh"
0767,戦略,せんりゃく,Strategy,战略,chiến lược
0768,占領,せんりょう,Occupy,占领,"chiếm đóng, chiếm lĩnh"
0769,措置,そち,Take measures,措施,biện pháp
0770,治安,ちあん,Public peace and order,治安,"an ninh, an toàn (xã hội)"
0771,秩序,ちつじょ,Public order,秩序,trật tự
0772,中枢,ちゅうすう,"Pivot, core",中枢、中心,"trụ cột, trung tâm"
0773,中東,ちゅうとう,Middle East,中东,Trung Đông
0774,調印,ちょういん,"Sign, seal",盖印、签字,ký vào
0775,追放,ついほう,"Banish, drive out",驱逐,"đuổi đi, trục xuất"
0776,闘争,とうそう,Struggle,斗争,đấu tranh
0777,統治,とうち,"Govern, rule",统治,cai trị
0778,同盟,どうめい,Alliance,同盟,đồng minh
0779,独裁,どくさい,Dictatorship,独裁,chế độ độc tài
0780,内閣,ないかく,Cabinet,内阁,Nội các
0781,内戦,ないせん,Civil war,内战,nội chiến
0782,内乱,ないらん,Civil strife,内乱,nổi loạn trong nước
0783,難民,なんみん,Refugee,难民,dân tị nạn
0784,敗戦,はいせん,Defeat,战败,sự bại trận
0785,反乱,はんらん,Rebellion,叛乱、反叛,cuộc nổi loạn
0786,票,ひょう,Vote,票、选票,phiếu bầu
0787,武装,ぶそう,Arm yourself,武装,vũ trang
0788,武力,ぶりょく,Armed force,武力,vũ lực
0789,兵器,へいき,Weapon,兵器,vũ khí
0790,兵隊,へいたい,Soldier,士兵、军人,đội quân
0791,法案,ほうあん,Bill,法案,dự luật
0792,暴動,ぼうどう,Rioting,暴动,bạo động
0793,母国,ぼこく,Mother country,祖国,tổ quốc
0794,捕虜,ほりょ,Prisoner,俘虏,tù nhân chiến tranh
0795,滅亡,めつぼう,"Go extinct, vanish",灭亡,"diệt vong, sụp đổ"
0796,野党,やとう,Opposition party,在野党,đảng đối lập
0797,有権者,ゆうけんしゃ,Voter,有选举权的人,cử tri đủ điều kiện
0798,与党,よとう,Ruling party,执政党,đảng cầm quyền
0799,領海,りょうかい,Territorial waters,领海,"lãnh hải, hải phận"
0800,領土,りょうど,Territory,领土,"lãnh thổ, lãnh địa"
0801,連邦,れんぽう,Federation,联邦,liên bang
0802,愛想,あいそう／あいそ,Friendliness,待人亲切、和蔼的态度,"sự dễ mến, sự thân thiện"
0803,間柄,あいだがら,Relations,关系,quan hệ
0804,言い分,いいぶん,"Argument, case",说法、意见,điều muốn nói
0805,怒り,いかり,Anger,愤怒,cơn giận
0806,憤り,いきどおり,Indignation,愤慨,sự phẫn nộ
0807,異性,いせい,Opposite sex,异性,giới tính khác
0808,うぬぼれ,,Conceit,自负,tính tự phụ
0809,浮気,うわき,Philander,用情不专、轻浮,ngoại tình
0810,運命,うんめい,"Fate, destiny",命运,vận mệnh
0811,縁,えん,Chance / Ties,缘分,cái duyên
0812,縁談,えんだん,Offer to arrange a marriage partner,说媒,"hôn ước, cuộc nói chuyện về cưới hỏi"
0813,行い,おこない,"Deed, action",行为,"hành động, việc làm"
0814,驚き,おどろき,Surprise,震惊、吃惊,sự kinh ngạc
0815,おふくろ,,Mother (familiar),妈妈（母亲的昵称）,mẹ của mình (cách gọi thân mật)
0816,おやじ,,Father (familiar),爸爸（父亲的昵称）,cha của mình (cách gọi thân mật)
0817,恩人,おんじん,"Benefactor, life-saver",恩人,ân nhân
0818,片思い,かたおもい,One-sided affection,单相思,tình yêu đơn phương
0819,歓声,かんせい,"Cheer, shout in joy",欢声、欢呼声,tiếng reo hò
0820,勧誘,かんゆう,Invite,劝诱、邀请,"rủ rê, mời mọc"
0821,気兼ね,きがね,Feel constrained,顾虑、顾及,"giữ ý, ngại"
0822,帰省,きせい,Go back to your home area,探亲、返乡探亲,về quê nhà
0823,気品,きひん,"Dignity, elegance",优雅、风度,sự cao quý
0824,共感,きょうかん,Sympathize,同感,đồng cảm
0825,恐縮,きょうしゅく,"Feel obliged, feel indebted",对不起、过意不去,"thấy áy náy, biết ơn, có lỗi"
0826,協調,きょうちょう,Be cooperative,协调,hợp tác
0827,郷土,きょうど,Home area,乡土、故土,quê hương
