no,tango,kana,en,zh,vi
0440,模様,もよう,pattern,图案,"hoạ tiết, hoa văn"
0441,約,やく,about,大约,khoảng
0442,勇気,ゆうき,courage,勇气,"dũng khí, can đảm, mạnh dạn"
0443,優勝,ゆうしょう,championship,冠军，获胜,vô địch
0444,友情,ゆうじょう,friendship,友情,tình bạn
0445,郵便,ゆうびん,"postal service, mail",邮政,đường bưu điện
0446,要求,ようきゅう,"request, demand",要求,"yêu cầu, đề nghị"
0447,用紙,ようし,"form, paper",规定用纸,giấy
0448,様子,ようす,appearance,样子,"tình hình, tình trạng, bộ mặt"
0449,予想,よそう,"expectation, anticipation",预测,"dự đoán, đoán"
0450,予報,よほう,forecast,预报,dự báo
0451,来日,らいにち,visit to Japan,来日本,"sang nhật, đến nhật"
0452,理解,りかい,understanding,领会，了解,hiểu
0453,リズム,,rhythm,节拍,nhịp điệu
0454,理想,りそう,ideal,理想,lý tưởng
0455,流行,りゅうこう,fashion,流行,"lưu hành, thịnh hành, mốt"
0456,量,りょう,amount,量,"lượng, sản lượng"
0457,両側,りょうがわ,both sides,两侧,hai bên
0458,旅券,りょけん,passport,护照,hộ chiếu
0459,ルール,,rule,规则,"quy định, quy tắc"
0460,留守番,るすばん,looking after a house (when someone is away),看家,trông nhà
0461,例,れい,example,例子,ví dụ
0462,例外,れいがい,exception,例外,ngoại lệ
0463,列,れつ,"line, queue",列,hàng
0464,レベル,,level,等级，水平,"mức độ, mức, đẳng cấp"
0465,恋愛,れんあい,romantic love,恋爱,"yêu, tình yêu"
0466,連続,れんぞく,"succession, continuation",连续,liên tiếp
0467,労働,ろうどう,"labor, work",劳动，工作,"lao động, việc đi làm"
0468,録音,ろくおん,(sound) recording,录音,ghi âm
0469,録画,ろくが,(picture) recording,录像,ghi hình
0470,ロッカー,,locker,存放柜,tủ để đồ
0471,話題,わだい,topic (of conversation),话题,"chủ đề câu chuyện, chủ đề bàn tán"
0472,割合,わりあい,"ratio, percentage",比例,tỷ lệ
0473,悪口,わるくち,"abuse, bad-mouthing (somebody)",坏话,nói xấu
0474,辺り,あたり,"neighborhood, vicinty",附近,vùng
0475,位置,いち,location,位置,vị trí
0476,市場,いちば,market,市场,chợ
0477,田舎,いなか,countryside,乡下，农村,"quê, vùng quê, miền quê"
0478,奥,おく,"inner part, back",里面,"bên trong, sâu trong"
0479,オフィス,,office,办公室,văn phòng
0480,海外,かいがい,overseas,海外,nước ngoài
0481,カウンター,,counter,前台，柜台,quầy
0482,ガソリンスタンド,,gas/petrol station,加油站,cây xăng
0483,看板,かんばん,signboard,广告牌,"bảng, biển hiệu"
0484,喫煙所,きつえんじょ,smoking area,吸烟室,"nơi hút thuốc, nơi được phép hút thuốc"
0485,喫茶店,きっさてん,"tearoom, coffee shop",咖啡店,"quán nước, quán giải khát"
0486,グラウンド,,ground (sports ground),操场,sân vận động
0487,警察署,けいさつしょ,police station,派出所,sở cảnh sát
0488,掲示板,けいじばん,bulletin/notice board,布告栏,bảng thông báo
0489,劇場,げきじょう,theater,剧场,"nhà hát kịch, nhà hát"
0490,コインランドリー,,"Laundromat, launderette",投币式洗衣房,máy giặt công cộng
0491,郊外,こうがい,suburbs,郊外,ngoại ô
0492,公衆トイレ,こうしゅうトイレ,public restroom/lavatory,公共厕所,nhà vệ sinh công cộng
0493,混雑,こんざつ,congestion,混乱，拥挤,"hỗn tạp, đông đúc, đông"
0494,コンビニ,,convenience store,便利店,cửa hàng tiện lợi
0495,裁判所,さいばんしょ,"courthouse, court",法院,toà án
0496,坂,さか,hill,坡道,"con dốc, đường đốc"
0497,左右,さゆう,right and left,左右,"trái phải, hai bên, các phía"
0498,自動販売機,じどうはんばいき,automatic vending machine,自动售货机,máy bán hàng tự động
0499,州,しゅう,state,州,"châu, bang"
0500,周囲,しゅうい,circumference,周围，周长,"xung quanh, chu vi"
0501,首都,しゅと,capital,首都,thủ đô
0502,商店,しょうてん,"store, shop",商店,cửa hàng
0503,商店街,しょうてんがい,shopping street/district,商业街,phố mua sắm
0504,消防署,しょうぼうしょ,"firehouse, fire station",消防局,cục phòng cháy
0505,書店,しょてん,"bookstore, bookshop",书店,cửa hàng sách
0506,城,しろ,castle,城堡,lâu đài
0507,隅,すみ,corner,角落,góc
0508,税関,ぜいかん,customs,海关,thuể quan
0509,席,せき,seat,座位,ghế
0510,前後,ぜんご,"front and back, before and after",前后,"gần, khoảng, trước sau"
0511,全国,ぜんこく,whole country,全国,toàn quốc
0512,センター,,center,中心,trung tâm
0513,団地,だんち,housing complex/estate,小区,"khu, vùng"
0514,地域,ちいき,area,地区,khu vực
0515,地下,ちか,"underground, basement",地下,"dưới lòng đất, tầng hầm"
0516,地方,ちほう,"region, district, provinces",地区,địa phương
0517,地名,ちめい,place name,地名,tên địa danh
0518,中央,ちゅうおう,center,中央,"trung ương, trung tâm"
0519,中心,ちゅうしん,"center, focus, loading, major, primary",中心,trung tâm
0520,突き当たり,つきあたり,"at the end of (the street, road, hall, etc.)",尽头,cuối đường
0521,出入口,でいりぐち,doorway,出入口,cửa ra vào
0522,手前,てまえ,"this side, just before",靠近自己这边,phía trước mặt
0523,電柱,でんちゅう,telegraph pole,电线杆,cột điện
0524,都会,とかい,"city, urban area",城市,"thành phố, đô hội"
0525,床屋,とこや,"barber shop, barber’s",理发店,tiệm cắt tóc
0526,都市,とし,city,城市,thành thị
0527,土地,とち,"land, region",土地,đất đai
0528,斜め,ななめ,"slant, diagonal",斜,"chếch, chéo"
0529,バー,,bar,酒吧,quán bar
0530,売店,ばいてん,"stand, kiosk",小卖店,cửa hàng
0531,墓,はか,grave,坟墓,mộ
0532,博物館,はくぶつかん,museum,博物馆,bảo tàng
0533,非常口,ひじょうぐち,emergency exit,安全出口,cửa thoát hiểm
0534,広場,ひろば,"open space, square",广场,quảng trường
0535,フロント,,front/reception desk,前台,quầy lễ tân
0536,ベンチ,,bench,长椅,ghế dài
0537,方角,ほうがく,"direction, way",方位,"phương hướng, phương giác"
0538,方向,ほうこう,"direction, course",方向,"phương hướng, phía"
0539,方面,ほうめん,"area, vicinity",方面，那一带,"phía, hướng"
0540,ホール,,hall,大厅,"phòng lớn, hội trường lớn"
0541,待合室,まちあいしつ,waiting room,候诊室，候车室,phòng chờ
0542,窓口,まどぐち,"service window, counter",窗口,quầy giao dịch
0543,周り,まわり,around,周围,xung quanh
0544,マンション,,"condominium, large apartment/flat",高级公寓,chung cư
0545,向かい,むかい,the opposite side,对面,đối diện
0546,向き,むき,direction,方向,hướng
0547,役所,やくしょ,government office,机关,ủy ban hành chính
0548,薬局,やっきょく,"pharmacy, chemist’s",药店,hiệu thuốc
0549,遊園地,ゆうえんち,"amusement park, fun fair",游乐园,"khu vui chơi, công viên"
0550,旅館,りょかん,Japanese-style inn,旅馆,khách sạn kiểu nhật
0551,ロビー,,lobby,大厅,sảnh
0552,網棚,あみだな,luggage rack,网状置物架,giá để hành lý
0553,移動,いどう,"movement, travel",移动,"di chuyển, dịch chuyển"
0554,運転免許,うんてんめんきょ,driver’s license,驾驶证,bằng lái xe
0555,エンジン,,engine,引擎,động cơ máy móc
0556,横断,おうだん,crossing,横穿,băng qua
0557,往復,おうふく,"round trip, return",往返,khứ hồi
0558,改札,かいさつ,"examination of tickets, ticket gate",检票,"soát vé, cửa soát vé"
0559,回数券,かいすうけん,coupon ticket,回数车票,vé dùng nhiều lần
0560,片道,かたみち,one way,单程,một chiều
0561,救急車,きゅうきゅうしゃ,ambulance,救护车,xe cấp cứu
0562,下り,くだり,"descent, going down",首都到地方，下行,xuống về xuôi
0563,経由,けいゆ,via,经过,quá cảnh
0564,航空機,こうくうき,"aircraft, airplane",飞机,máy bay
0565,高速道路,こうそくどうろ,"freeway, motorway",高速公路,đường cao tốc
0566,交通機関,こうつうきかん,means of transportation,交通机关,phương tiện giao thông
0567,交通事故,こうつうじこ,traffic accident,交通事故,tai nạn giao thông
0568,座席,ざせき,seat,座位,chỗ ngồi
0569,シートベルト,,seatbelt,安全带,dây an toàn
0570,時刻表,じこくひょう,timetable,时刻表,bảng giờ
0571,私鉄,してつ,private railroad/railway,私营铁路,đường sắt tư nhân
0572,車庫,しゃこ,"garage, depot",车库,bãi để xe
0573,渋滞,じゅうたい,traffic congestion,堵车,tắc đường
0574,乗車券,じょうしゃけん,train/bus ticket,车票,vé xe
0575,新幹線,しんかんせん,"the Shinkansen, bullet train",新干线,tàu siêu tốc
0576,ストップ,,stop,刹车,dừng
0577,スピード,,speed,速度,tốc độ
0578,速度,そくど,speed,速度,tốc độ
0579,タイヤ,,tire,轮胎,bánh xe
0580,近道,ちかみち,shortcut,（抄）近路,đường tắt
0581,駐車,ちゅうしゃ,parking,停车,sự đỗ xe
0582,通過,つうか,passing,通过,"vượt qua, đi qua"
0583,つり革,つりかわ,hanging strap,把手,dây bám bằng da
0584,定期券,ていきけん,commuter pass,定期车票,vé tháng
0585,大通り,おおどおり,main/high street,大道,đường lớn
0586,歩道橋,ほどうきょう,footbridge,人行天桥,cầu đi bộ
0587,トンネル,,tunnel,隧道,đường hầm
0588,信号,しんごう,"signal, traffic lights",信号灯,đèn tín hiệu
0589,横断歩道,おうだんほどう,pedestrian crossing,斑马线,vạch qua đường cho người đi bộ
0590,交差点,こうさてん,intersection,十字路口,"điểm giao nhau, ngã tư"
0591,歩道,ほどう,"sidewalk, pavement",人行道,đường đi bộ
0592,バス停,バスてい,bus stop,公交车站,bến xe buýt
0593,線路,せんろ,railroad/railway track,轨道,đường tàu
0594,踏切,ふみきり,railroad/level crossing,道口,rào chắn tàu
0595,停車,ていしゃ,"(car, train) stopping",停车,"sự dừng tàu, xe"
0596,鉄道,てつどう,railroad/railway,铁路,đường sắt
0597,到着,とうちゃく,arrival,到达,đến nơi
0598,道路,どうろ,"road, street",道路,đường
0599,ドライブ,,"drive, motoring",驾车兜风,"lái xe, lái xe dã ngoại"
0600,ドライブイン,,pull-in/roadside restaurant,路边餐馆,trạm nghỉ
0601,ナンバー,,number,号码,số
0602,上り,のぼり,"ascent, going up",从地方到首都，上行,"đưa ra, lên , đi ngược (về phía bắc)"
0603,発車,はっしゃ,departure,发车,khởi hành
0604,パトカー,,patrol car,巡逻车,xe cảnh sát
0605,ハンドル,,"handle, steering wheel",方向盘,tay lái
0606,便,びん,flight,航班,chuyến
0607,ブレーキ,,brake,刹车,phanh
0608,ホーム（プラットホーム）,,platform,站台,sân ga
0609,行き,ゆき/いき,"going, bound for",去，前往,"hướng đi, đi"
0610,ラッシュ（ラッシュアワー）,,rush hour,高峰时间,giờ cao điểm
0611,レール,,rail,铁轨,đường ray
0612,ダンプ（ダンプカー）,,dump truck,翻斗车,xe ô tô địa hình
0613,トラック,,"truck, lorry",卡车,xe tải
0614,ヘリコプター,,helicopter,直升机,máy bay trực thăng
0615,ボート,,boat,舟，小船,ca nô
0616,モノレール,,monorail,单轨铁路,đường ray đơn
0617,ロケット,,rocket,火箭,tên lửa
0618,汗,あせ,sweat,汗,mồ hôi
0619,アレルギー,,allergy,过敏反应,dị ứng
0620,医院,いいん,"doctor’s office, surgery",医院,bệnh viện
0621,息,いき,"breath, breathing",气息,hơi thở
0622,居眠り,いねむり,doze,瞌睡,ngủ gật
0623,命,いのち,life,生命,tính mạng
0624,インフルエンザ,,influenza,流感,cảm cúm
0625,ウイルス,,virus,病毒,virus
0626,うがい,,gargle,漱口,súc miệng
0627,香り,かおり,"scent, smell",香味,mùi hương
0628,花粉症,かふんしょう,hay fever,花粉过敏,dị ứng phấn hoa
0629,髪の毛,かみのけ,hair (head),头发,tóc
0630,がん,,cancer,癌症,ung thư
0631,患者,かんじゃ,patient,患者,bệnh nhân
0632,傷,きず,"cut, scar, wound",伤口,"vết xước, sẹo"
0633,急病,きゅうびょう,急性病,sudden illness,ốm đột xuất
0634,禁煙,きんえん,stopping smoking,禁烟，戒烟,"cấm hút thuốc, không hút thuốc"
0635,禁止,きんし,prohibition,禁止,cấm
0636,くしゃみ,,sneezing,喷嚏,hắt hơi
0637,血圧,けつあつ,blood pressure,血压,huyết áp
0638,血液,けつえき,blood,血液,máu
0639,下痢,げり,diarrhea,腹泻,tiêu chảy
0640,健康,けんこう,health,健康,sức khỏe
0641,検査,けんさ,examination,检查,kiểm tra
0642,呼吸,こきゅう,breathing,呼吸,hô hấp
0643,骨折,こっせつ,"bone fracture, broken bone",骨折,gãy xương
0644,コンタクト（コンタクトレンズ）,,contact lens,隐形眼镜,kính áp tròng
0645,死亡,しぼう,death,死亡,tử vong
0646,手術,しゅじゅつ,operation,（做）手术,phẫu thuật
0647,出血,しゅっけつ,"bleed, bleeding",出血,xuất huyết
0648,症状,しょうじょう,symptoms,症状,bệnh tình
0649,消毒,しょうどく,"disinfection, sterilization",消毒,"khử độc, khử trùng"
0650,食中毒,しょくちゅうどく,food poisoning,食物中毒,ngộ độc thực phẩm
0651,食欲,しょくよく,appetite,食欲,sự thèm ăn
0652,白髪,しらが,gray hair,白发,tóc bạc
0653,神経,しんけい,nerve,神经,"hần kinh, tủy (răng)"
0654,診察,しんさつ,medical examination,诊断,khám bệnh
0655,診断書,しんだんしょ,medical certificate,诊断书,sổ khám bệnh
0656,身長,しんちょう,height,身高,chiều cao
0657,睡眠,すいみん,sleep,睡眠,ngủ
0658,頭痛,ずつう,headache,头痛,đau đầu
0659,ストレス,,stress,压力,sự căng thẳng
0660,せき,,cough,咳嗽,ho
0661,ダイエット,,diet,减肥,giảm béo
0662,体温,たいおん,body temperature,体温,nhiệt độ cơ thể
0663,体重,たいじゅう,body weight,体重,cân nặng
0664,体力,たいりょく,physical strength,体力，抵抗力,thể lực
0665,疲れ,つかれ,"tiredness, fatigue",疲劳,mệt
0666,長生き,ながいき,"longevity, long life",长寿,sự trường thọ
0667,涙,なみだ,"tear, eyewater",眼泪,nước mắt
0668,匂い/臭い,におい,smell,气味,mùi
0669,吐き気,はきけ,nausea,恶心，反胃,buồn nôn
0670,肌,はだ,skin,皮肤,da
0671,裸,はだか,"naked, nude",赤裸,khỏa thân
0672,眼科,がんか,ophthalmology,眼科,khoa mắt
0673,外科,げか,surgery,外科,khoa ngoại
0674,産婦人科,さんふじんか,obstetrics and gynecology,妇产科,khoa sản
0675,歯科,しか,dentistry,牙科,nha khoa
0676,耳鼻科,じびか,otolaryngology,耳鼻科,khoa tai mũi họng
0677,小児科,しょうにか,pediatrics,儿科,nhi khoa
0678,整形外科,せいけいげか,orthopedics,骨科,khoa chỉnh hình
0679,内科,ないか,internal medicine,内科,khoa nội
0680,皮膚科,ひふか,dermatology,皮肤科,khoa da liễu
0681,はだし,,bare feet,赤脚,chân đất
0682,腹,はら,"belly, stomach",肚子,bụng
0683,皮膚,ひふ,skin,皮肤,da
0684,副作用,ふくさよう,side effect,副作用,tác dụng phụ
0685,平熱,へいねつ,normal temperature,正常体温,nhiệt độ bình thường
0686,骨,ほね,bone,骨头,xương
0687,マスク,,mask,口罩,"khẩu trang, mặt nạ"
0688,虫歯,むしば,"bad tooth, cavity",蛀牙,răng sâu
0689,目薬,めぐすり,eye drops,眼药水,thuốc nhỏ mắt
0690,やけど,,"burn, scald",烫伤,bỏng
0691,予防,よぼう,prevention,预防,dự phòng
0692,レントゲン,,X-ray,X光,x-quang
0693,胸,むね,chest,胸部,ngực
0694,唇,くちびる,lip,嘴唇,môi
0695,舌,した,tongue,舌头,lưỡi
0696,おなか,,stomach,腹部,bụng
0697,爪,つめ,nail,指甲,móng
0698,尻,しり,backside,臀部,mông
0699,肩,かた,shoulder,肩部,vai
0700,腰,こし,"lower back, waist",腰部,hông
0701,肺,はい,lung,肺部,phổi
0702,胃,い,stomach,胃部,dạ dày
0703,心臓,しんぞう,heart,心脏,tim
0704,相手,あいて,"opponent, other party, partner",对手,"đối phương, đối thủ"
0705,委員,いいん,"member of a committee, delegate",委员,ủy viên
0706,医師,いし,doctor,医生,bác sỹ
0707,王,おう,king,君主，国王,vua
0708,王様,おうさま,king,国王,nhà vua
0709,おじさん,,middle-aged man,叔叔，中年男子,"chú, bác"
0710,お嬢さん,おじょうさん,"miss, young lady, an otherʼs daughter",姑娘，令爱，您的女儿,tiểu thư
0711,おばさん,,middle-aged woman,阿姨,"cô, bác"
0712,親子,おやこ,parent and child,亲子，父母和子女,"mẫu tử; phụ tử, cha mẹ và con"
0713,会員,かいいん,member,会员,hội viên
0714,ガイド,,guide,导游,hướng dẫn viên
0715,係り,かかり,person in charge,负责人,người phụ trách
0716,学歴,がくれき,educational background,学历,quá trình học tập
0717,方,かた,person,位,"ngài, vị, người"
0718,観客,かんきゃく,audience,观众,quan khách
0719,教授,きょうじゅ,professor,教授,"giảng viên, giáo sư"
0720,クラスメート,,classmate,同班同学,bạn cùng lớp
0721,グループ,,group,小组,nhóm
0722,恋人,こいびと,"boyfriend, girlfriend",恋人,người yêu
0723,コーチ,,coach,教练,huấn luyện viên
0724,国王,こくおう,king,国王,quốc vương
0725,国籍,こくせき,nationality,国籍,quốc tịch
0726,国民,こくみん,"nation, people",国民,quốc dân
0727,個人,こじん,individual,个人,cá nhân
0728,個性,こせい,"individuality, personality",个性,"cá tính, tính cách"
0729,才能,さいのう,"talent, ability",才能,tài năng
0730,作者,さくしゃ,"writer, author, artist",作者,tác giả
0731,作家,さっか,"writer, author, artist",作家,nhà văn
0732,サラリーマン,,salaried worker,工薪族,"nhân viên văn phòng, viên chức"
0733,司会,しかい,moderator,司仪，主持人，主持,chủ trì
0734,資格,しかく,qualification,资格,tư cách
0735,氏名,しめい,full name,姓名,họ tên
0736,社員,しゃいん,company employee,公司员工,nhân viên
0737,住民,じゅうみん,"resident, inhabitant",居民,dân cư
0738,首相,しゅしょう,prime minister,首相,thủ tướng
0739,出身,しゅっしん,"one’s birth place, school one graduated from",出生，毕业,"xuất thân, tốt nghiệp"
0740,主婦,しゅふ,housewife,主妇,người nội trợ
0741,少女,しょうじょ,young girl,少女,"thiếu nữ, cô bé"
0742,少年,しょうねん,young boy,少年,thiếu niên
0743,女王,じょおう,queen,女王,"hoàng hậu, nữ hoàng"
0744,職業,しょくぎょう,"occupation, profession",职业,nghề nghiệp
0745,女子,じょし,"woman, girl",女子,nữ
0746,親戚,しんせき,relative,亲戚,họ hàng
0747,親友,しんゆう,close friends,挚友,bạn thân
0748,スター,,star,明星,ngôi sao
0749,姓,せい,family name,姓,họ (gia đình)
0750,性格,せいかく,"character, personality",性格,tính cách
0751,成人,せいじん,adult,成人,người trưởng thành
0752,青年,せいねん,"youth, adolescent",青年,thanh niên
0753,生年月日,せいねんがっぴ,date of birth,出生年月日,ngày tháng năm sinh
0754,性別,せいべつ,gender,性别,giới tính
0755,全員,ぜんいん,all the members,全员,tất cả mọi người
0756,選手,せんしゅ,"player, athlete",选手,tuyển thủ
0757,総理大臣,そうりだいじん,prime minister,首相,thủ tướng
0758,大臣,だいじん,minister,大臣,bộ trưởng
0759,大統領,だいとうりょう,president,总统,tổng thống
0760,他人,たにん,other people,他人,người khác
0761,タレント,,"radio or TV talent, TV personality",艺人,"tài năng, người nổi tiếng"
0762,男子,だんし,"boy, man",男子,nam
0763,短所,たんしょ,"weak point, shortcoming",短处，缺点,"sở đoản,nhược điểm"
0764,団体,だんたい,"group, party, team",团体，集体,đoàn thể
0765,チーム,,team,队，组,đội
0766,中年,ちゅうねん,middle aged,中年,trung niên
0767,長所,ちょうしょ,strong/good point,长处，优点,sở trường
0768,天才,てんさい,genius,天才,thiên tài
0769,天皇,てんのう,emperor,天皇,thiên hoàng
0770,当番,とうばん,turn of duty,值日,"ượt, phiên"
0771,特技,とくぎ,special skill/talent,特长,kỹ năng đặc biệt
0772,独身,どくしん,single,单身,độc thân
0773,年上,としうえ,older,年长,lớn tuổi hơn
0774,年下,としした,younger,年轻,ít tuổi hơn
0775,年寄り,としより,old person,老年人,người cao tuổi
0776,ドライバー,,driver,驾驶员,người lái xe
0777,仲間,なかま,"companion, fellow",伙伴,"bạn, đồng bọn."
0778,仲良し,なかよし,good friend,关系好,thân thiết
0779,人間,にんげん,human being,人类,con người
0780,年齢,ねんれい,age,年龄,tuổi tác
0781,能力,のうりょく,ability,能力,năng lực
0782,ファン,,fan,粉丝,người hâm mộ
0783,夫婦,ふうふ,"husband and wife, married couple",夫妻,vợ chồng
0784,父母,ふぼ,"father and mother, parents",父母,phụ mẫu
0785,プロ,,"pro, professional",专业,chuyên nghiệp
0786,本人,ほんにん,the actual/said person,本人,chính người đó
0787,迷子,まいご,lost child,迷路的孩子,lạc đường
0788,父親,ちちおや,father,父亲,bố
0789,母親,ははおや,mother,母亲,mẹ
0790,祖父,そふ,grandfather,爷爷，外公,ông
0791,祖母,そぼ,grandmother,奶奶，外婆,bà
0792,長男,ちょうなん,oldest son,长男,trưởng nam
0793,長女,ちょうじょ,oldest daughter,长女,trưởng nữ
0794,次男,じなん,oneʼs second son,次子,thứ nam
0795,次女,じじょ,oneʼs second daughter,次女,thứ nữ
0796,孫,まご,grandchild,孙子，孙女,cháu
0797,おい,,nephew,侄子，外甥,cháu trai
0798,めい,,niece,侄女，外甥女,cháu gái
0799,いとこ,,cousin,堂兄弟，堂姐妹，表兄弟，表姐妹,anh em họ
0800,民族,みんぞく,"race, ethnic group",民族,dân tộc
0801,息子,むすこ,son,儿子,con trai
0802,娘,むすめ,daughter,女儿,con gái
0803,目上,めうえ,one’s superior,上级,bề trên
0804,メンバー,,member,队员，成员,thành viên
0805,友人,ゆうじん,friend,朋友,bạn bè
0806,リーダー,,leader,领袖，队长,"lão đạo, thủ lĩnh, người dẫn đầu"
0807,履歴書,りれきしょ,"résumé, CV",简历,bản lý lịch
0808,老人,ろうじん,old person,老年人,người già
0809,若者,わかもの,young people,年轻人,giới trẻ
0810,エンジニア,,engineer,工程师,kỹ sư
0811,画家,がか,"artist, painter",画家,họa sĩ
0812,歌手,かしゅ,singer,歌手,ca sĩ
0813,看護師,かんごし,nurse,护士,y tá
0814,記者,きしゃ,"journalist, reporter",记者,nhà báo
0815,教師,きょうし,teacher,教师,giáo viên
0816,公務員,こうむいん,civil servant,公务员,"công chức, viên chức"
0817,コック,,cook,厨师,đầu bếp
0818,女優,じょゆう,actress,女演员,nữ diễn viên
0819,大工,だいく,carpenter,木匠,thợ mộc
0820,通訳,つうやく,interpreter,翻译,thông dịch
0821,デザイナー,,designer,设计师,nhà thiết kế
0822,俳優,はいゆう,"actor, actress",男演员,diễn viên
0823,パイロット,,pilot,飞行员,phi công
0824,弁護士,べんごし,lawyer,律师,luật sư
0825,遠足,えんそく,school trip,郊游,"tham quan, dã ngoại"
0826,解答,かいとう,"answer, solution",解答,"giải đáp, đáp án"
0827,学習,がくしゅう,"study, learning",学习,"học tập, rèn luyện"
0828,学年,がくねん,"grade, year",年级,"học niên, khóa"
0829,学力,がくりょく,academic ability,学习能力,học lực
0830,学期,がっき,school semester/term,学期,học kì
0831,科目,かもく,subject of study,科目,môn học
0832,願書,がんしょ,written application,志愿书,hồ sơ
0833,カンニング,,cheating in an exam,作弊,"gian lận thi cử, quay cóp"
0834,キャンパス,,campus,校园，校区,cơ sở
0835,給食,きゅうしょく,"provision of meals (at schools, companies, etc.)",供餐,"bữa cơm (trường học, công ty)"
0836,教科書,きょうかしょ,textbook,教科书,sách giáo khoa
0837,クイズ,,quiz,智力问答,câu đố
0838,組,くみ,"class, group",班级,"tổ, nhóm"
0839,クラブ,,club,俱乐部,câu lạc bộ
0840,グラフ,,graph,图表,biểu đồ
0841,計算,けいさん,calculation,计算,"tính, tính toán"
0842,合格,ごうかく,passing an exam,合格,"đỗ, đỗ đạt"
0843,講義,こうぎ,lecture,讲义，授课,"bài giảng, giờ giảng"
0844,講座,こうざ,course of lectures,讲座,khoá học
0845,講習,こうしゅう,short course,讲习,"khoá học, khoá đào tạo"
0846,サークル,,"club, circle",社团,"nhóm, câu lạc bộ"
0847,三角（三角形）,さんかく（さんかくけい）,triangle,三角（三角形）,tam giác
0848,時間割,じかんわり,"timetable, schedule",课程表,"thời gian biểu, thời khoá biểu"
0849,自習,じしゅう,study by oneself,自习,tự học
0850,実験,じっけん,experiment,实验,"thí nghiệm, thực nghiệm"
0851,実習,じっしゅう,"practical training, practice",实习,"thực tập, thực hành"
0852,受験,じゅけん,examination,考试,"dự thi, tham gia kỳ thi"
0853,小学生,しょうがくせい,elementary schoolchild,小学生,"học sinh tiểu học, học sinh cấp 1"
0854,初級,しょきゅう,beginner,初级,sơ cấp
0855,進学,しんがく,going on to the next educational step,升学,học lên
0856,図,ず,"chart, diagram",图片,"hình vẽ, đồ thị"
0857,数字,すうじ,"number, figure",数字,"số, con số"
0858,正解,せいかい,correct answer,正确答案，答对,"câu trả lời đúng, câu trả lời chính xác"
0859,成績,せいせき,"academic result, score, grade",成绩,"thành tích, kết quả"
0860,ゼミ（ゼミナール）,,seminar,小组讨论,hội thảo
0861,専門,せんもん,specialty,专业,chuyên môn
0862,早退,そうたい,leaving work (or school) early,早退,"nghỉ sớm, về sớm"
0863,体積,たいせき,volume,体积,thể tích
0864,単語,たんご,word,单词,từ vựng
0865,担任,たんにん,in charge of class,担任，班主任,giáo viên chủ nhiệm
0866,知識,ちしき,knowledge,知识,"ri thức, kiến thức"
0867,中級,ちゅうきゅう,intermediate,中级,trung cấp
0868,通学,つうがく,commuting to school,上下学,đi học
0869,点数,てんすう,"mark, score",分数,điểm số
0870,ばつ,,cross mark,叉号,"phạt, dấu x"
0871,百科事典,ひゃっかじてん,encyclopedia,百科全书,từ điển bách khoa
0872,表,ひょう,"chart, table, list",表格,bảng
0873,プラス,,"plus, add",加，正号,thêm
0874,文,ぶん,sentence,文章，句子,câu
0875,括弧,かっこ,"parenthesis, bracket",括号,dấu ngoặc đơn
0876,四角（四角形）,しかく（しかくけい）,square,四角（四角形）,hình vuông (tứ giác)
0877,矢じるし,やじるし,arrow mark,箭头,mũi tên chỉ hướng
0878,円,えん,circle,圆,vòng tròn
0879,曲線,きょくせん,curved line,曲線,đường gấp khúc
0880,直線,ちょくせん,straight line,直线,đường thẳng
0881,点線,てんせん,dotted line,虚线,đường chấm chấm
0882,下線,かせん,underline,下画线,gạch chân
0883,半径,はんけい,radius,半径,bán kính
0884,直径,ちょっけい,diameter,直径,đường kính
0885,保育所,ほいくしょ/ほいくじょ,day-care center,托儿所,nhà trẻ
0886,マイナス,,"minus, subtraction",减去，负号,"trừ đi, âm, lỗ"
0887,丸,まる,"circle, club",圆圈,tròn
0888,面積,めんせき,area,面积,diện tích
0889,文字,もじ,"letter, character",文字,chữ cái
0890,留学,りゅうがく,overseas study,留学,du học
0891,レッスン,,lesson,课程，授课,"bài học, lớp"
0892,レポート/リポート,,report,报告,báo cáo
0893,ローマ字,ローマじ,roman letter,罗马字母,chữ la tinh
0894,専門学校,せんもんがっこう,vocational school/college,专业学校,trường chuyên môn
0895,大学院,だいがくいん,graduate school,研究生院,khoa sau đại học
0896,短大（短期大学）,たんだい（たんきだいがく）,junior college,短期大学,cao đẳng
0897,幼稚園,ようちえん,"kindergarten, nursery school",幼儿园,trường mẫu giáo
0898,化学,かがく,chemistry,化学,hóa học
0899,国語,こくご,national language,国语,môn quốc ngữ
0900,体育,たいいく,"physical education, gym",体育,thể dục
0901,物理,ぶつり,physics,物理,vật lý
0902,理科,りか,science,理科,khối tự nhiên
0903,アニメ（アニメーション）,,"anime, animation",动画,hoạt hình
0904,演奏,えんそう,performance,演奏,biểu diễn
0905,海水浴,かいすいよく,sea bathing,海水浴,tắm biển
0906,歌詞,かし,lyrics,歌词,lời bài hát
0907,楽器,がっき,musical instrument,乐器,nhạc cụ
0908,キャンプ,,camp,野营,cắm trại
0909,曲,きょく,"piece of music, tune",歌曲,ca khúc
0910,芸術,げいじゅつ,art,艺术,nghệ thuật
0911,劇,げき,"play, drama",戏剧,kịch
