no,tango,kana,en,zh,vi
0507,置き場,おきば,place (for),放置处,chỗ đặt
0508,会場,かいじょう,venue,会场,hội trường
0509,席,せき,seat,座位,chỗ ngồi
0510,試合,しあい,"game, match",比赛,trận thi đấu
0511,スクリーン,,screen,屏幕,màn hình
0512,ガラス,,glass,玻璃,kính
0513,昼休み,ひるやすみ,lunch break,午休,giờ nghỉ trưa
0514,ベル,,bell,铃,chuông
0515,音,おと,"sound, noise",声音,"âm thanh, tiếng động"
0516,匂い／臭い,におい,smell,气味；臭味,mùi
0517,火,ひ,fire,火,lửa
0518,光,ひかり,light,光,ánh sáng
0519,力,ちから,power,力气、力量,sức lực
0520,格好,かっこう,appearance,打扮,sự ăn mặc
0521,ヘアスタイル,,hairstyle,发型,kiểu tóc
0522,タイプ,,type,种类,loại
0523,西洋,せいよう,the West,西方,phương Tây
0524,よさ,,goodness,好处,cái hay
0525,夢,ゆめ,dream,梦；梦想,giấc mơ / ước mơ
0526,隅,すみ,corner,角落,góc
0527,真ん中,まんなか,middle,正中间,chính giữa
0528,間,あいだ,between,之间,khoảng cách
0529,辺,へん,area,附近,khu vực
0530,方,ほう,toward,方向,phía
0531,周り,まわり,around,周围,chung quanh
0532,遠く,とおく,far away,远处,phía xa
0533,右側,みぎがわ,right side,右侧,bên phải
0534,あっち,,over there,那边,bên kia
0535,こっち,,here,这边,bên này
0536,そっち,,there,那边,bên đó
0537,どっち,,"which, where",哪边、哪个,"bên nào, cái nào"
0538,以上,いじょう,or more,以上,trên
0539,以下,いか,or less,以下,dưới
0540,以外,いがい,apart from,以外,ngoài
0541,以内,いない,within,以内,trong vòng
0542,うち,,"between, among",内、中,trong
0543,倍,ばい,twice,（两）倍,gấp đôi
0544,多く,おおく,many,许多,nhiều
0545,重さ,おもさ,weight,重量,độ nặng
0546,高さ,たかさ,height,高度,độ cao
0547,長さ,ながさ,length,长度,chiều dài
0548,広さ,ひろさ,area,宽度、广度,chiều rộng
0549,このくらい,,about this (size),这种（大小）,cỡ này
0550,点,てん,dot / point,点；分数,cái chấm / điểm số
0551,線,せん,line,线,đường
0552,形,かたち,shape,形状,hình dáng
0553,縦,たて,vertical,纵向,dọc
0554,横,よこ,width,横向,ngang
0555,表,おもて,front,表面、正面,mặt trước
0556,裏,うら,back,背面,mặt sau
0557,日,ひ②,sun,太阳,Mặt trời
0558,月,つき,moon,月亮,Mặt trăng
0559,星,ほし,star,星星,sao
0560,雲,くも,cloud,云,mây
0561,曇り,くもり,cloudy,多云,trời mây mù
0562,空気,くうき,air,空气,không khí
0563,季節,きせつ,season,季节,mùa
0564,梅雨,つゆ,rainy season,梅雨,mùa mưa
0565,島,しま,island,岛,đảo
0566,海岸,かいがん,seashore,海岸,"bờ biển, bãi biển"
0567,湖,みずうみ,lake,湖,hồ
0568,森,もり,forest,森林,rừng rậm
0569,林,はやし,woods,树林,rừng
0570,枝,えだ,branch,树枝,cành
0571,葉／葉っぱ,は／はっぱ,leaf,叶子,lá
0572,草,くさ,grass,草,cỏ
0573,石,いし,stone,石,đá
0574,砂,すな,sand,沙子,cát
0575,小鳥,ことり,small bird,小鸟,chim nhỏ
0576,虫,むし,insect,虫子,côn trùng
0577,あげる,,give,给,"cho, tặng"
0578,上げる,あげる,raise,举起,"giơ lên, nâng lên"
0579,上がる,あがる,"increase, rise",上升,tăng
0580,下げる,さげる,lower,降低,hạ xuống
0581,下がる,さがる,reduce,下降,giảm
0582,ある,,have,来,có
0583,急ぐ,いそぐ,hurry,快、赶紧,"gấp lên, mau lên"
0584,要る,いる,need,需要,cần
0585,写す,うつす,take (a picture) / copy,拍摄；抄写,chụp (ảnh) / sao chép
0586,選ぶ,えらぶ,choose,挑选,chọn
0587,送る,おくる,send / drive,发送；送行,gửi / đưa đi
0588,遅れる,おくれる,be late / be delayed,迟到；延误,muộn / chậm trễ
0589,起こす,おこす①,wake up,叫醒,đánh thức
0590,押す,おす,"press, push",按下、压,"nhấn, đẩy"
0591,落とす,おとす,drop / lose,使掉下；丢失,đánh rơi / làm mất
0592,落ちる,おちる,drop / fail,掉落；落榜,rơi xuống / thi trượt
0593,踊る,おどる,dance,跳舞,nhảy múa
0594,驚く,おどろく,be surprised,惊吓,giật mình
0595,思う,おもう,think,认为、觉得,nghĩ
0596,折る,おる,fold / break,折叠；折断,gấp / bẻ
0597,折れる,おれる,be broken,折断,bị gãy
0598,変える,かえる,change,改变,thay đổi
0599,変わる,かわる,change,发生改变,đổi khác
0600,掛ける,かける①,hang,挂上,treo
0601,勝つ,かつ,win,赢,thắng
0602,負ける,まける,lose,输,thua
0603,かぶる,,put on,戴上,đội
0604,渇く,かわく,be thirsty,口渴,khô
0605,頑張る,がんばる,try hard,努力、加油,cố gắng
0606,聞こえる,きこえる,be heard,听得见,nghe được
0607,見える,みえる,be seen,看得见,thấy được
0608,決める,きめる,decide,决定,quyết định
0609,決まる,きまる,be decided,决定,được ấn định
0610,気を付ける,きをつける,be careful,小心,"lưu ý, cẩn thận"
0611,くれる,,give (me),给（我）,"(người khác) cho, tặng (mình)"
0612,混む,こむ,be crowded,拥挤,đông
0613,壊す,こわす,break,弄坏,phá hủy
0614,壊れる,こわれる,be broken,坏,bị hư hỏng
0615,探す／捜す,さがす,look for,寻找,tìm
0616,（傘を）差す,（かさを）さす,put up (an umbrella),撑（伞）,giương (dù)
0617,叱る,しかる,scold,斥责,la mắng
0618,調べる,しらべる,"check, look up",调查,tra cứu
0619,（おなかが）すく,,become hungry,（肚子）饿,đói (bụng)
0620,捨てる,すてる,throw away,扔掉,vứt
0621,倒れる,たおれる,fall,倒,đổ xuống
0622,建てる,たてる,build,建造,xây
0623,つく,,turn on,亮起,(đèn) sáng
0624,勤める,つとめる,work,工作、任职,làm việc
0625,釣る,つる,fish,钓,câu (cá)
0626,連れて行く,つれていく,take,带……去,đưa đi
0627,連れて来る,つれてくる,bring,带……来,đưa đến
0628,できる,,be completed,完成,xong
0629,手伝う,てつだう,help,帮忙,giúp đỡ
0630,通る,とおる,pass,通过,qua lại
0631,届ける,とどける,notify,申报、报告,trình báo
0632,泊まる,とまる,stay,投宿,nghỉ lại
0633,止める,とめる,"stop, turn off",停、关,"tắt, dừng"
0634,取り替える,とりかえる,exchange,更换、交换,đổi lại
0635,直す,なおす,"correct, fix",修改、修理,sửa
0636,直る,なおる,"be fixed, be corrected",修好、改正,được sửa
0637,治る,なおる,"be cured, be healed",痊愈,khỏi
0638,泣く,なく,cry,哭泣,khóc
0639,なくす,,lose,弄丢,làm mất
0640,投げる,なげる,throw,投,ném
0641,並べる,ならべる,line up,排列、摆放,xếp thành hàng
0642,並ぶ,ならぶ,"queue, line up",排队,xếp hàng
0643,慣れる,なれる,get used to,习惯,quen
0644,脱ぐ,ぬぐ,take off,脱,cởi
0645,塗る,ぬる,spread,涂,phết
0646,登る,のぼる,climb,攀爬,leo
0647,乗り換える,のりかえる,change (trains etc.),换乘,"đổi (tàu, xe)"
0648,運ぶ,はこぶ,"carry, bring",搬运,mang vác
0649,始める,はじめる,start,开始,bắt đầu
0650,払う,はらう,pay,支付,trả (tiền)
0651,引っ越す,ひっこす,move,搬迁,chuyển (nhà)
0652,開く,ひらく,open (used both as a transitive and intransitive verb),打开（既可作自动词，又可作他动词。）,mở (dùng như tự động từ hoặc tha động từ)
0653,拾う,ひろう,pick up,捡,nhặt
0654,吹く,ふく,blow,吹,thổi
0655,太る,ふとる,get fat,长胖,béo ra
0656,痩せる,やせる,lose weight,瘦,gầy đi
0657,曲がる,まがる,turn,弯、转弯,rẽ
0658,間違える,まちがえる,make a mistake,弄错,nhầm lẫn
0659,迎える,むかえる,meet,迎接,đón
0660,もらう,,get,得到,"nhận, được cho"
0661,焼く,やく,"bake, grill",烤,nướng
0662,焼ける,やける,be cooked,做熟,được nướng
0663,やむ,,stop,停止,"tạnh, dừng"
0664,やめる,,"stop, give up",放弃、取消,"bỏ cuộc, không làm nữa"
0665,やる①,,do,做,làm
0666,汚れる,よごれる,be dirty,弄脏,bị bẩn
0667,別れる,わかれる,separate,分别,tạm biệt
0668,渡る,わたる,cross,过,băng qua
0669,笑う,わらう,laugh,笑,cười
0670,割れる,われる,break,破碎,bị vỡ
0671,合う,あう,fit,合适,vừa
0672,空く,あく,be empty,变空,trống
0673,集める,あつめる,collect,收集、募集,"thu thập, góp nhặt"
0674,集まる,あつまる,gather,聚集,"tập hợp, tập trung"
0675,謝る,あやまる,apologize,道歉,xin lỗi
0676,安心する,あんしんする,feel relieved,放心,an tâm
0677,生きる,いきる,live,活、生活,sống
0678,いじめる,,bully,欺负,bắt nạt
0679,祈る,いのる,pray,祈祷,cầu nguyện
0680,植える,うえる,plant,种植,trồng
0681,受ける,うける,get,接受,tiếp nhận
0682,動く,うごく,move / work,动；运转,chuyển động / hoạt động
0683,打つ,うつ,hit,打、撞,đập
0684,移る,うつる,move,移动,được chuyển đi
0685,うつる,,be transmitted,传染,lây lan
0686,起こす,おこす②,cause,引起,gây ra
0687,行う,おこなう,hold,举行,tổ chức
0688,怒る,おこる,get angry,生气,nổi giận
0689,（お）世話になる,（お）せわになる,be taken care of,承蒙照顾,được giúp đỡ
0690,思い出す,おもいだす,remember,想起,nhớ về
0691,下りる,おりる,go down,下降,đi xuống
0692,掛ける,かける②,cause (worry),使承受、使经受,"gây ra, làm ra"
0693,飾る,かざる,decorate,装饰,trang trí
0694,片付ける,かたづける,tidy up,收拾,dọn dẹp
0695,かむ,,"chew, bite",咬、嚼,"nhai, cắn"
0696,通う,かよう,"go, commute",上学、通勤,đi lại đều đặn
0697,乾く,かわく,dry,干燥,khô
0698,考える,かんがえる,think,想、考虑,suy nghĩ
0699,気が付く,きがつく,notice,注意到,nhận ra
0700,比べる,くらべる,compare,比较,so sánh
0701,（日が）暮れる,（ひが）くれる,(the sun) set,（太阳）下山,(trời) tối
0702,腰を掛ける,こしをかける,sit down,坐下,ngồi xuống
0703,騒ぐ,さわぐ,make a noise,吵闹,làm ồn
0704,触る,さわる,touch,触摸,chạm
0705,知らせる,しらせる,inform,通知,"thông báo, cho biết"
0706,知り合う,しりあう,get acquainted,认识,quen nhau
0707,過ぎる,すぎる,pass,超过,quá
0708,すく,,become less crowded,空,vắng
0709,進む,すすむ,move forward,前进,tiến tới
0710,滑る,すべる,slip,打滑、滑动,trượt
0711,済む,すむ,finish,结束、了结,xong
0712,育てる,そだてる,"bring up, grow",养育、培育,"nuôi dạy, trồng (hoa)"
0713,足す,たす,add,添加,thêm
0714,訪ねる,たずねる,visit,拜访,thăm
0715,尋ねる,たずねる,ask,询问、打听,hỏi
0716,立てる,たてる,stand / make (a plan),立；制定,dựng / lập
0717,楽しむ,たのしむ,enjoy,享受,thưởng thức
0718,頼む,たのむ,ask,委托、请求,nhờ vả
0719,足りる,たりる,be enough,足够,có đủ
0720,捕まえる,つかまえる,catch,抓住、逮捕,bắt
0721,付ける,つける,attach,安上、装上,gắn
0722,伝える,つたえる,convey,告诉、转达,"bày tỏ, truyền đạt"
0723,続ける,つづける,continue,持续,tiếp tục
0724,続く,つづく,continue,继续、持续,nối tiếp
0725,包む,つつむ,wrap,包、裹,"gói, bọc lại"
0726,連れる,つれる,take,带,dẫn theo
0727,届く,とどく,arrive,到达,(vật) đến nơi
0728,なくなる,,"run out, be gone, disappear",消失、没了,"không còn, hết, bị mất"
0729,亡くなる,なくなる,die,死亡,"mất, qua đời"
0730,鳴る,なる,ring,响,"reng, kêu"
0731,逃げる,にげる,escape,逃,chạy trốn
0732,似る,にる,look like,像,giống
0733,盗む,ぬすむ,steal,偷盗,lấy trộm
0734,ぬれる,,get wet,淋湿,ướt
0735,眠る,ねむる,sleep,睡觉,ngủ
0736,残る,のこる,be left,留下、残留,còn dư
0737,測る／量る／計る,はかる,measure,测量,"cân, đo"
0738,貼る,はる,stick,贴,dán
0739,晴れる,はれる,be clear,放晴,có nắng
0740,曇る,くもる,be cloudy,天阴,có mây
0741,冷える,ひえる,get cold,冰镇,được làm lạnh
0742,光る,ひかる,shine,发光,chiếu sáng
0743,引く,ひく,pull / draw,拉；画,kéo / vạch
0744,びっくりする,,be surprised,惊吓,giật mình
0745,増える,ふえる,increase,增加,tăng lên
0746,踏む,ふむ,step on,踩,"giẫm, đạp"
0747,褒める,ほめる,praise,表扬,khen
0748,間に合う,まにあう,be in time,赶上,kịp giờ
0749,回る,まわる,go round,绕着转,vòng quanh
0750,磨く,みがく,polish,擦,đánh bóng
0751,見付ける,みつける,find,找到,tìm thấy
0752,見付かる,みつかる,be found,找到,được tìm thấy
0753,向かう,むかう,head,前往,đi về hướng
0754,戻る,もどる,return,返回,quay lại
0755,役に立つ,やくにたつ,be useful,有用,có ích
0756,辞める,やめる,quit,辞职、离开,nghỉ (việc)
0757,やる②,,give,给,cho
0758,揺れる,ゆれる,"shake, sway",摇晃,rung lắc
0759,呼ぶ,よぶ,call,叫、招呼,gọi
0760,寄る,よる,stop by,顺便去,ghé
0761,喜ぶ,よろこぶ,be happy,高兴,vui mừng
0762,沸かす,わかす,boil,烧开,đun sôi
0763,沸く,わく,boil,沸腾,sôi
0764,渡す,わたす,"give, hand",交给,đưa
0765,うれしい,,happy,开心的,vui
0766,悲しい,かなしい,sad,悲伤的,buồn
0767,おかしい,,funny,可笑的,buồn cười
0768,怖い,こわい,scared,可怕的、害怕的,đáng sợ
0769,寂しい,さびしい,lonely,孤独的,"cô đơn, buồn"
0770,恥ずかしい,はずかしい,embarrassed,难为情的,"ngượng, mắc cỡ"
0771,うまい①,,good,美味的,ngon
0772,まずい,,bad-tasting,难吃的,dở
0773,苦い,にがい,bitter,苦的,đắng
0774,ぬるい,,lukewarm,不冷不热的,nguội
0775,眠い,ねむい,sleepy,困倦的,buồn ngủ
0776,気分が悪い,きぶんがわるい,feel sick,不舒服的,không khỏe
0777,浅い,あさい,shallow,浅的,nông
0778,深い,ふかい,deep,深的,sâu
0779,堅い／固い／硬い,かたい,hard,硬的,cứng
0780,柔らかい／軟らかい,やわらかい,soft,软的,mềm
0781,細かい,こまかい,fine,零碎的、小的,"nhỏ, nhuyễn"
0782,美しい,うつくしい,beautiful,美丽的,đẹp
0783,うまい②,,good,拿手的,"hay, giỏi"
0784,かっこいい,,cool,酷帅的,"đẹp, hợp thời trang"
0785,素晴らしい,すばらしい,wonderful,绝佳的,tuyệt vời
0786,正しい,ただしい,correct,正确的,đúng
0787,優しい,やさしい,kind,温柔的、体贴的,hiền hậu
0788,よろしい,,good,好的,"được, tốt"
0789,汚い,きたない,dirty,脏的,bẩn
0790,ひどい,,terrible,极差的,tồi tệ
0791,厳しい,きびしい,severe,严格的,khắt khe
0792,すごい,,"amazing, terrible",厉害的,"tuyệt vời, kinh khủng"
0793,珍しい,めずらしい,rare,珍奇的、罕见的,hiếm
0794,安心,あんしん,relieved,放心的,yên tâm
0795,心配,しんぱい,anxious,担心的,"bận tâm, đáng lo"
0796,安全,あんぜん,safe,安全的,an toàn
0797,危険,きけん,dangerous,危险的,nguy hiểm
0798,いっぱい,,full,满的,"no, đầy"
0799,簡単,かんたん,easy,简单的,đơn giản
0800,急,きゅう,steep / sudden,陡峭的；突然的,dốc / đột ngột
0801,残念,ざんねん,"regrettable, unfortunate",遗憾的、可惜的,đáng tiếc
0802,自由,じゆう,free,自由的,tự do
0803,十分,じゅうぶん,enough,足够的,đủ
0804,親切,しんせつ,kind,亲切的,tử tế
0805,大事,だいじ,important,重要的,quan trọng
0806,駄目,だめ,"no good, impossible",不行的、不可以的,không được
0807,丁寧,ていねい,"polite, careful",有礼貌的、细心的,"lịch sự, chu đáo"
0808,特別,とくべつ,special,特别的,đặc biệt
0809,熱心,ねっしん,enthusiastic,积极的、热情的,nhiệt tình
0810,必要,ひつよう,necessary,必要的,cần thiết
0811,複雑,ふくざつ,complicated,复杂的,phức tạp
0812,不便,ふべん,inconvenient,不方便的,bất tiện
0813,変,へん,strange,奇怪的,"bất thường, lạ"
0814,真面目,まじめ,serious,认真的,nghiêm túc
0815,真っすぐ,まっすぐ,straight,笔直的,thẳng
0816,無理,むり,impossible,难以办到的,bất khả thi
0817,盛ん,さかん,thriving,盛行的、热烈的,"thịnh hành, mạnh"
0818,邪魔,じゃま,"in the way, annoying",碍事的,vướng víu
0819,確か,たしか,certain,确凿的,xác thực
0820,適当,てきとう,suitable,恰当的,thích hợp
0821,立派,りっぱ,magnificent,宏伟的、杰出的,tráng lệ
0822,国際的,こくさいてき,international,国际性的,có tính quốc tế
0823,この間,このあいだ,the other day,前几天,hôm trước
0824,さっき,,a while ago,刚才,lúc nãy
0825,たった今,たったいま,just now,刚刚,vừa mới
0826,最近,さいきん,recently,最近,gần đây
0827,この頃,このごろ,these days,这阵子,dạo này
0828,これから,,from now,接着、今后,từ bây giờ
0829,今度,こんど,"shortly, soon",将要,sắp tới
0830,もうすぐ,,soon,将要,sắp
0831,しばらく,,for a while,片刻地、许久地,trong một lúc
0832,ずっと①,,all the time,一直地,suốt
0833,そろそろ,,soon,就快,sắp sửa
0834,とうとう,,finally,终究,sau cùng
0835,やっと,,finally,总算,cuối cùng
0836,なかなか（～ない）,,(not) readily,（不）简单、难以,mãi mà (không ~)
0837,非常に,ひじょうに,very,非常地,cực kỳ
0838,ずいぶん,,really,很,"quá mức, khá nhiều"
0839,だいぶ,,really,相当地,nhiều
0840,割合（に）,わりあい（に）,relatively,比较地,tương đối
0841,ずっと②,,far,……得多,hơn nhiều
0842,最も,もっとも,most,最,nhất
0843,特に,とくに,especially,特别,đặc biệt
0844,普通,ふつう②,usually,一般,thông thường
0845,すっかり,,completely,全都,"bẵng, hoàn toàn"
0846,ほとんど,,almost,几乎,"hầu như, phần lớn"
0847,だいたい,,on the whole,大致,đại khái
0848,たいてい,,usually,大抵、差不多,thường
0849,たまに,,sometimes,偶尔,đôi khi
0850,こんなに,,as this,这么,đến thế này
0851,そんなに,,as that,那么,đến thế (ấy)
0852,あんなに,,as that,那么,đến thế (kia)
0853,どのくらい,,"how much, how often, how long",多少、几次、多久,"mức nào, bao lâu"
0854,全然（～ない）,ぜんぜん（～ない）,(not) at all,根本（不）,hoàn toàn (không ~)
0855,ちっとも（～ない）,,(not) at all,一点也（不）,(không ~) chút nào
0856,一度も（～ない）,いちども（～ない）,(not) once,一次也（没）,(chưa ~) lần nào
0857,決して（～ない）,けっして（～ない）,never,绝对（不）,nhất định (không ~)
0858,それほど（～ない）,,"(not) so, (not) that",（并不）那么,(không ~) đến mức đó
0859,そんなに（～ない）,,"(not) so, (not) that",（不）那么,(không ~) đến mức đó
0860,できるだけ,,as much as possible,尽量地,hết mức có thể
0861,なるべく,,as much as possible,尽可能地,hết mức có thể
0862,一生懸命,いっしょうけんめい,hard,拼命地,cật lực
0863,しっかり,,"firmly, thoroughly",用力地、好好地,"chắc, chăm chỉ"
0864,どんどん,,more and more,连续不断地,đều đặn một cách tích cực
0865,はっきり,,clearly,清楚地,rõ ràng
0866,代わりに,かわりに,instead,替代,thay cho
0867,こう,,like this,这样,như vầy
0868,そう,,like that,那样,như thế
0869,ああ,,that way,那样,như thế kia
0870,どう,,"what, how",怎样,thế nào
0871,一度,いちど,one time,一次,một lần
0872,必ず,かならず,definitely,必定、一定,"chắc chắn, nhất định"
0873,きっと,,surely,一定,chắc là
0874,ぜひ,,definitely,务必,nhất định
0875,確かに,たしかに,unquestionably,确实,đúng là vậy
0876,もちろん,,of course,当然,tất nhiên
0877,やはり／やっぱり,,sure enough,果然、还是,"quả nhiên, đúng là"
0878,よろしく,,leave it to you,请关照,từ thể hiện thành ý khi nhờ vả
0879,まず,,first,首先,trước hết
0880,例えば,たとえば,for example,比如,ví dụ như
0881,もし,,if,如果,nếu
0882,いくら（〜ても）,,however (much / hard),无论多少（都）,(dù ~) bao nhiêu đi nữa
0883,いろんな,,various,各种各样的,nhiều loại
0884,あんな,,such,那样的,như thế (kia)
0885,こんな,,such,这样的,như thế này
0886,そんな,,such,那样的,như thế (ấy)
0887,どんな,,what kind,怎样的,như thế nào
0888,どういう,,what kind,什么样的,"gì, thế nào"
0889,けれど／けれども,,however,但是,nhưng mà
0890,すると,,then,于是乎,thế là
0891,それで,,so,因此,do vậy
0892,それに,,in addition,而且,ngoài ra
0893,だから,,therefore,所以,vậy nên
0894,または,,or,或是,hoặc
0895,方,かた,person,位,vị
0896,お子さん,おこさん,another person’s child,孩子、令郎、令爱,con người khác
0897,お嬢さん,おじょうさん,another person’s daughter,千金、令爱,con gái người khác
0898,お宅,おたく,another person’s house,您家,nhà người khác
0899,いらっしゃる①,,be,在,"ở, đang, còn"
0900,いらっしゃる②,,go / come,去；来,đi / đến
0901,おいでになる,,come,来,đến
0902,おっしゃる,,say,说,nói
0903,なさる,,"do, play",做、玩,"làm, chơi"
0904,召し上がる,めしあがる,"have, eat, drink",吃、喝,"dùng , ăn, uống"
0905,下さる,くださる,give (me),给（我）,"cho, tặng (mình)"
0906,ご存じです,ごぞんじです,know,知道,biết
0907,ご覧になる,ごらんになる,see,看,xem
0908,おる,,be,在,"ở, đang, còn"
0909,参る,まいる,go / come,去；来,đi / đến
0910,申し上げる,もうしあげる,tell,说、表示,nói
0911,申す,もうす,tell,说,nói
0912,致す,いたす,do,做,làm
0913,いただく①,,"have, eat, drink",吃、喝,"dùng, ăn, uống"
0914,頂く,いただく②,receive,得到、受领,nhận
0915,伺う,うかがう①,"hear, ask",听、询问,"nghe, hỏi"
0916,伺う,うかがう②,visit,拜访,đi thăm
0917,差し上げる,さしあげる,give,敬赠、呈送,"biếu, tặng"
0918,拝見する,はいけんする,look,看,xem
0919,でございます,,be,是、为,là
0920,行ってきます,いってきます,I’m going.,我出门了,câu chào khi ra khỏi nhà
0921,行ってらっしゃい,いってらっしゃい,Have a good day.,一路平安,câu chào của người ở lại
0922,ただいま,,I’m home.,我回来了,câu chào khi về nhà
0923,お帰りなさい,おかえりなさい,Welcome home.,欢迎回家,câu chào của người đang ở nhà
0924,お先に失礼します,おさきにしつれいします,"Excuse me, I’m going.",我先告辞了,Xin phép về trước.
0925,バイバイ,,Bye bye.,拜拜、再见,Bái bai.
0926,（では、）お元気で,（では、）おげんきで,Keep well.,请多保重,(Thôi) Bảo trọng nhé!
0927,（どうぞ）お大事に,（どうぞ）おだいじに,Please get well soon.,（对病人）请保重身体,(Xin) Hãy giữ gìn sức khỏe.
0928,おめでとうございます,,Congratulations.,恭喜、祝贺,Xin chúc mừng.
0929,おかげさまで,,Fortunately,托您的福,Nhờ ơn trên.
0930,ごめんなさい,,I’m sorry.,对不起,Xin lỗi.
0931,申し訳ありません,もうしわけありません,I’m very sorry.,对不起,Xin thứ lỗi.
0932,失礼しました,しつれいしました,I’m sorry.,抱歉、失敬,Thất lễ quá.
0933,失礼します,しつれいします,Excuse me.,失陪一下；失礼了,Xin phép ạ.
0934,無理しないでください,むりしないでください,Don’t overdo it.,请不要太勉强,Đừng làm quá sức mình.
0935,お待たせしました,おまたせしました,Thank you for waiting.,您久等了,Xin lỗi đã để ~ đợi.
0936,よくいらっしゃいました,,It’s good of you to come.,欢迎您来,Chào mừng ~ đã đến.
0937,かしこまりました,,Understood.,我知道了,Tôi hiểu rồi ạ.
0938,かまいません,,I don’t mind.,没关系、不要紧,Không vấn đề gì.
0939,こちらこそ,,"not you, but I",彼此彼此,Là tôi mới phải.
0940,それはいけませんね,,That’s too bad.,这样下去可不行,Vậy thì tệ quá!
0941,（いいえ、）どういたしまして,,(No) you’re welcome.,（没什么）别客气,(Không) Không có chi.
0942,あ,,oh,呀,a
0943,うん,,yeah,嗯,ừ
0944,おや,,oh,咦,"ồ, chà"
0945,なるほど,,I see.,噢、原来如此,ra vậy
0946,お～ （お 手 紙 ）,,(polite prefix),（表示礼貌的接头词）,(phụ tố thể hiện sắc thái trang trọng)
0947,ご〜 （ご 意 見 ）,,(polite prefix),（表示礼貌的接头词）,(phụ tố thể hiện sắc thái trang trọng)
0948,〜様 （お 客 様 ）,～さま,Mr. / Ms.,～先生、～女士,"ngài ~, bà ~"
0949,〜君 （ 山 田 君 ）,～くん,A more friendly way of saying “～さん”,（比“～さん”更亲切的称呼方法）,(cách gọi hàm ý thân mật hơn “さん”)
0950,〜ちゃん （おばあちゃん）,,A more friendly way of saying “～さん”,（比“～さん”更亲切的称呼方法）,(cách gọi hàm ý thân mật hơn “さん”)
0951,〜屋 （パン 屋 ）,～や,~ store,～店,tiệm ~
0952,〜代 （ 食 事 代 ）,～だい,~ bill,～费用,tiền ~
0953,〜員 （ 駅 員 ）,～いん,~ employee,～员工,nhân viên ~
0954,〜家 （ 音 楽 家 ）,～か,-ist / ian,～家,nhà ~
0955,〜会 （ 研 究 会 ）,～かい,~ meeting,～会,"hội ~, buổi ~"
0956,〜式 （ 入 学 式 ）,～しき,~ ceremony,～典礼、～仪式,lễ ~
0957,〜方 （ 作 り 方 ）,～かた,how to ~,～的方法,cách ~
0958,〜側 （ 南 側 ）,～がわ,~ side,～侧、～边,phía ~
0959,～中 （ 家 中 ）,～じゅう①,whole ~,（空间）～里、～内,trong ~
0960,～中 （ 一 日 中 ）,～じゅう②,all / during ~,（时间）整～、整个～,suốt ~
0961,～すぎ① （ ６ 時 すぎ）,,past ~,过了～、～多,hơn ~
0962,〜製 （アメリカ 製 ）,～せい,made in ~,～制造,sản xuất tại ~
0963,〜中 （ 授 業 中 ）,～ちゅう,in the middle ~,（时间）～中、正在～,đang ~
0964,～さ （ 大 きさ）,,(turns an adjective into a noun),（将形容词名词化的结尾词）,"độ ~, sự ~"
0965,～半 （ １ 年 半 ）,～はん,~ and a half,～半,~ rưỡi
0966,～目 （ ２ つ 目 ）,～め,(indicates an ordinal number),第～,"cái thứ ~, lần thứ ~"
0967,〜やすい （ 食 べやすい）,,easy to ~,便于～、容易～,dễ ~
0968,〜にくい （ 覚 えにくい）,,difficult to ~,难以～、不易～,khó ~
0969,〜始める （ 習 い 始 める）,～はじめる,"begin to ~, start to ~",开始～,bắt đầu ~
0970,〜だす （ 歩 きだす）,,"begin to ~, start to ~",～起来,bắt đầu ~
0971,〜終わる （ 食 べ 終 わる）,～おわる,finish -ing,～完,~ xong
0972,〜続ける （ 話 し 続 ける）,～つづける,keep -ing,继续～、一直～,"tiếp tục ~, ~ suốt"
0973,〜過ぎる （ 多 過 ぎる）,～すぎる,too ~,过于～、太～,~ quá mức
0974,～過ぎ （ 痩 せ 過 ぎ）,～すぎ②,"too ~, over ~",～过头、过分～,~ quá độ
0975,〜がる （ 食 べたがる）,,want to ~,想～,"muốn ~, thích ~"
0976,〜学部 （ 教 育 学 部 ）,～がくぶ,~ department,～系,khoa ~
0977,～教室 （ 英 語 教 室 ）,～きょうしつ,~ class,～培训班、～课,lớp ~
0978,〜建て （ ５ 階 建 て）,～だて,~ building,～的建筑,xây ~ (chỉ kiểu nhà)
0979,〜区 （ 新 宿 区 ）,～く,~ ward,～区,quận ~
0980,〜町 （ 有 楽 町 ・ 大 手 町 ）,～ちょう／～まち,~ town,～镇,phường ~
0981,零,れい,zero,零,số 0
0982,億,おく,hundred million,亿,trăm triệu
0983,～％ （ １ ％ ）,～パーセント,~ percent,百分之～,~ phần trăm
0984,～ｃｍ （ １ ｃ ｍ ）,～センチ（センチメートル）,~ centimeter,～厘米,~ cm
0985,～ｍ （ １ ｍ ）,～メートル,~ meter,～米,~ mét
0986,～ｋｍ （ １ ｋ ｍ ）,～キロ（キロメートル）,~ kilometer,～千米,~ km
0987,～ｇ （ １ ｇ ）,～グラム,~ gram,～克,~ gram
0988,～ｋｇ （ １ ｋ ｇ ）,～キロ（キログラム）,~ kilogram,～千克,~ kilogram
0989,～ｍ ２ （ １ ｍ ２ ）,～へいほうメートル,~ square meter,～平方米,~ m<sup>2</sup>
